ID_code;id_name;Sartoretto_TS_group;Sartoretto_TS_group_etendu;Sartoretto_CS_group;Sartoretto_CS_group_etendu;Taxon_level;ID_major_category;major_category;gender_name;Species;Gender;Family;Order;Class;Phylum;Not_concerned;major_builders_old;Builders_all;Builders_nobryo;LSP;PSP;MSP;AXSP;COSP
ANIN;Antho inconstans;;;basal;basal;Species;S;Sponge;Antho;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANME;Antedon mediterranea;;;;basal;Species;CR;Crinoidian;Antedon;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANSU;Antipathes subpinnata;;;upper;upper;Species;ATP;Antipatharia;Antipathes;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANTH;Antipatharia;;;upper;upper;Species;ATP;Antipatharia;NC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
APAE;Aplysina aerophoba;;4;intermediate;intermediate;Species;S;Sponge;Aplysina;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
APCA;Aplysina cavernicola;4;4;intermediate;intermediate;Species;S;Sponge;Aplysina;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
APLI;Aplidium sp;4;4;basal;basal;Gender;AS;Actiniaria;Aplidium;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
APRO;Aplysilla rosea;;4;basal;basal;Species;S;Sponge;Aplysilla;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
APSP;Aplysilla sulfurea;4;4;basal;basal;Species;S;Sponge;Aplysilla;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARLI;Arbacia lixula;;;;intermediate;Species;E;Echinids;Arbacia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASAS;Ascidiella aspersa;;4;intermediate;intermediate;Species;AS;Ascidians;Ascidiella;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASCA;Astroides calycularis;;2;;intermediate;Species;SCL;Scleractinia;Astroides;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
ASCI;Ascidians;;4;intermediate;intermediate;Family;AS;Ascidians;NC;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
ASME;Ascidia mentula;;4;intermediate;intermediate;Species;AS;Ascidians;Ascidia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASSP;Asparagopsis sp;;;intermediate;intermediate;Gender;EMA;Erected red macroalgae;Asparagopsis;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
ASTE;Asterids;;;;basal;Class;AST;Asterids;NC;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
ASTM;Astropartus mediterraneus;;;;basal;Species;O;Ophiuroids;Astropartus;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASVI;Ascidia virginea;;4;intermediate;intermediate;Species;AS;Ascidians;Ascidia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AXAU;Axinyssa aurantiaca;;;basal;basal;Species;S;Sponge;Axinyssa;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AXDA;Axinella damicornis;2;2;upper;upper;Species;S;Sponge;Axinella;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
AXDI;Axinella dissimilaris;;;upper;upper;Species;S;Sponge;Axinella;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AXPO;Axinella polypoides;;;upper;upper;Species;S;Sponge;Axinella;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
AXSP;Axinella sp;;;upper;upper;Gender;S;Sponge;Axinella;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
AXVA;Axinella vaceleti;;;upper;upper;Species;S;Sponge;Axinella;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
AXVE;Axinella verrucosa;2;2;upper;upper;Species;S;Sponge;Axinella;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
BAEU;Balanophyllia europaea;;2;intermediate;intermediate;Species;SCL;Scleractinia;Balanophyllia;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
BIVO;Bispira volutacornis;;;basal;basal;Species;W;Sedentary worms;Bispira;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
BMAC;Brown macroalgae;;;;intermediate;Class;BM;Brown macroalgae;NC;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
BOVI;Bonellia viridis;;;;basal;Species;W;Sedentary worms;Bonellia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRSP;Bryopsis sp;;;;basal;Gender;GM;Green macroalgae;Bryopsis;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
C;Crevice;;;;;NC;SPR;Sludge, pavement, rubble, sand;NC;0;0;0;0;0;0;NC;0;0;0;0;0;0;0;0
CAIN;Caryophyllia inornata;2;2;basal;basal;Species;SCL;Scleractinia;Caryophyllia;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0
CAMO;Cacospongia mollior;2;2;basal;basal;Species;S;Sponge;Cacospongia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CARA;Caulerpa racemosa;;;;basal;Species;GM;Green macroalgae;Caulerpa;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CASC;Cacospongia scalaris;3;3;basal;basal;Species;S;Sponge;Cacospongia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CASM;Caryophyllia smithii;2;2;basal;basal;Species;SCL;Scleractinia;Caryophyllia;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0
CATA;Caulerpa taxifolia;;;;intermediate;Species;GM;Green macroalgae;Caulerpa;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAVE;Callogorgia verticillata;;;;upper;Species;G;Gorgonian;Callogorgia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CEL;Centrostephanus longispinus;;;;upper;Species;E;Echinids;Centrostephanus;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CELL;Cellaria sp;;;intermediate;intermediate;Gender;EBR;Erected bryozoan;Cellaria;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
CERI;Ceriantharia;;;;intermediate;Order;C;Ceriantharia;NC;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
CHNU;Chondrilla nucula;;;basal;basal;Species;S;Sponge;Chondrilla;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CHRE;Chondrosia reniformis;1;1;basal;basal;Species;S;Sponge;Chondrosia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CHTE;Chartella tenella;;;intermediate;intermediate;Species;EBR;Erected bryozoan;Chartella;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
CHVE;Chrysymenia ventricosa;;;intermediate;intermediate;Species;EMA;Erected red macroalgae;Chrysymenia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CICI;Cidaris cidaris;;;;intermediate;Species;E;Echinids;Cidaris;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CIED;Ciona edwardsi;;4;intermediate;intermediate;Species;AS;Ascidians;Ciona;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CIIN;Ciona intestinalis;;4;intermediate;intermediate;Species;AS;Ascidians;Ciona;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLAD;Cladophora sp;;;;basal;Gender;GM;Green macroalgae;Cladophora;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
CLCE;Cliona celata;1;1;basal;basal;Species;S;Sponge;Cliona;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
